情景,组,BMI区间,人数,t*,组内平均当次p(t*),组内平均F(t*),组内平均误判率U(t*),折中得分S(t*)
偏早(0.5:1),1,"[20.0, 33.5)",206,14.5,0.8844,0.8975,0.0346,0.3573
偏早(0.5:1),2,"[33.5, ∞)",61,14.5,0.7781,0.8033,0.0478,0.3714
折中(1:1),1,"[20.0, 33.5)",206,17.5,0.8998,0.9485,0.0258,0.4439
折中(1:1),2,"[33.5, ∞)",61,18.0,0.8079,0.8971,0.0367,0.4656
偏稳(2:1),1,"[20.0, 33.4)",202,21.0,0.9158,0.9765,0.0168,0.3682
偏稳(2:1),2,"[33.4, ∞)",65,21.5,0.8383,0.947,0.0247,0.3808
仅延迟(0:1),1,"[20.0, 28.9)",30,11.0,0.8904,0.8156,0.0375,0.0
仅延迟(0:1),2,"[28.9, ∞)",237,11.0,0.8302,0.7269,0.0485,0.0
仅可靠(1:0),1,"[20.0, 28.9)",30,25.0,0.945,0.9936,0.0072,0.0
仅可靠(1:0),2,"[28.9, ∞)",237,25.0,0.9101,0.9844,0.0111,0.0
